record_id,domain,language_hint,feedback
R000169,interior,en,"Glove box latch broke, lid will not stay closed."
R000170,powertrain,en,Diesel particulate filter regeneration fails repeatedly. VIN: WDB2030461A123456
R000171,interior,en,Steering wheel heater only warms the lower half of the rim. Please fix this asap.
R000172,interior,en,Power window switch on driver door is unresponsive intermittently. VIN: WDB2030461A123456
R000173,interior,en,Steering wheel heater only warms the lower half of the rim. !!!!!!
R000174,display_infotainment,tr,Geri vites kamerasi siyah ekran gosteriyor. <p>this is a complaint</p>
R000175,display_infotainment,tr,MBUX dokunmatik ekran navigasyon sirasinda donuyor. Plate: B-MW 1234
R000176,interior,en,Climate control blows cold air on driver side and hot on passenger side.
R000177,interior,en,"Sunroof refuses to close in cold weather, error on dashboard. Mercedes please help."
R000178,display_infotainment,tr,MBUX dokunmatik ekran navigasyon sirasinda donuyor. !!!!!!
R000179,interior,en,"Rear seat belt buckle is stuck, cannot release the belt. Contact me at john.doe@example.com or +49 30 1234567."
R000180,interior,en,Climate control blows cold air on driver side and hot on passenger side. Contact me at john.doe@example.com or +49 30 1234567.
R000181,display_infotainment,es,La camara de marcha atras muestra pantalla negra.  multiple   spaces   here  
R000182,powertrain,en,9G transmission shifts hard between 2nd and 3rd gear when cold.
R000183,interior,en,"Glove box latch broke, lid will not stay closed. Plate: B-MW 1234"
R000184,interior,en,Driver seat cushion has worn through after 50 months.
R000185,interior,en,"Sunroof refuses to close in cold weather, error on dashboard.  multiple   spaces   here  "
R000186,interior,en,The driver seat heater stops working after 4 minutes of driving.
R000187,display_infotainment,tr,MBUX dokunmatik ekran navigasyon sirasinda donuyor.  multiple   spaces   here  
R000188,interior,en,Steering wheel heater only warms the lower half of the rim. !!!!!!
R000189,interior,en,Center console armrest is loose and wobbles when leaning on it. <p>this is a complaint</p>
R000190,interior,en,Steering wheel heater only warms the lower half of the rim.
R000191,interior,en,Center console armrest is loose and wobbles when leaning on it.
R000192,display_infotainment,it,Lo schermo MBUX si blocca durante la navigazione.  multiple   spaces   here  
R000193,display_infotainment,pl,Asystent glosowy Hey Mercedes nie rozpoznaje polecen. Mercedes please help.
R000194,interior,en,Cabin filter smells musty even after replacement. <p>this is a complaint</p>
R000195,interior,en,The driver seat heater stops working after 37 minutes of driving.
R000196,display_infotainment,en,Backup camera shows black screen when reverse is engaged. Contact me at john.doe@example.com or +49 30 1234567.
R000197,interior,en,"Rear seat belt buckle is stuck, cannot release the belt. !!!!!!"
R000198,interior,en,Climate control blows cold air on driver side and hot on passenger side. Plate: B-MW 1234
R000199,interior,en,Cabin filter smells musty even after replacement. Contact me at john.doe@example.com or +49 30 1234567.
R000200,interior,en,Center console armrest is loose and wobbles when leaning on it. VIN: WDB2030461A123456
R000201,interior,en,Mirror auto-dimming feature does not work at night. VIN: WDB2030461A123456
R000202,interior,en,"Ambient lighting flickers randomly at night, very distracting. <p>this is a complaint</p>"
R000203,display_infotainment,de,Burmester Soundsystem hat statisches Rauschen am hinteren rechten Lautsprecher.
R000204,powertrain,en,On-board charger refuses to connect with public DC fast chargers.  multiple   spaces   here  
R000205,powertrain,de,Reichweite der Hochvoltbatterie ist nach einem Winter um 42 Prozent gesunken.
R000206,interior,en,Passenger seat ventilation makes a loud rattling noise on bumpy roads. <p>this is a complaint</p>
R000207,interior,en,Power window switch on driver door is unresponsive intermittently. Please fix this asap.
R000208,interior,en,Climate control blows cold air on driver side and hot on passenger side.
R000209,interior,en,"Sunroof refuses to close in cold weather, error on dashboard. Mercedes please help."
R000210,interior,en,Center console armrest is loose and wobbles when leaning on it.
R000211,interior,en,Steering wheel heater only warms the lower half of the rim. Please fix this asap.
R000212,interior,en,Steering wheel heater only warms the lower half of the rim.
R000213,interior,en,Steering wheel heater only warms the lower half of the rim. Mercedes please help.
R000214,display_infotainment,da,Bakkamera viser sort skaerm naar jeg saetter i bakgear. <p>this is a complaint</p>
R000215,interior,en,Mirror auto-dimming feature does not work at night.  multiple   spaces   here  
R000216,interior,en,"Rear seat belt buckle is stuck, cannot release the belt."
R000217,display_infotainment,en,GPS navigation routes through closed roads repeatedly.  multiple   spaces   here  
R000218,interior,en,Mirror auto-dimming feature does not work at night. Mercedes please help.
R000219,interior,en,Center console armrest is loose and wobbles when leaning on it. VIN: WDB2030461A123456
R000220,display_infotainment,it,Apple CarPlay si disconnette ogni 16 minuti. Contact me at john.doe@example.com or +49 30 1234567.
R000221,interior,en,Steering wheel heater only warms the lower half of the rim. Contact me at john.doe@example.com or +49 30 1234567.
R000222,interior,en,Cup holder cracked after 44 months of normal use. !!!!!!
R000223,display_infotainment,pl,Apple CarPlay rozlacza sie co 12 minut. Contact me at john.doe@example.com or +49 30 1234567.
R000224,display_infotainment,tr,MBUX dokunmatik ekran navigasyon sirasinda donuyor. VIN: WDB2030461A123456
R000225,interior,en,Steering wheel heater only warms the lower half of the rim. Plate: B-MW 1234
R000226,interior,en,The driver seat heater stops working after 7 minutes of driving. !!!!!!
R000227,interior,en,Driver seat cushion has worn through after 31 months.
R000228,interior,en,Steering wheel heater only warms the lower half of the rim. Please fix this asap.
R000229,interior,en,Cup holder cracked after 23 months of normal use.  multiple   spaces   here  
R000230,display_infotainment,en,Bluetooth pairing drops every time the car is restarted.  multiple   spaces   here  
R000231,display_infotainment,de,Rueckfahrkamera zeigt schwarzen Bildschirm beim Einlegen des Rueckwaertsgangs.
R000232,display_infotainment,de,Drahtloses Ladegeraet ueberhitzt und stoppt das Laden.
R000233,powertrain,en,Turbocharger whines loudly above 24000 rpm.
R000234,interior,en,Cabin filter smells musty even after replacement. !!!!!!
R000235,interior,en,The driver seat heater stops working after 17 minutes of driving.
R000236,display_infotainment,tr,MBUX dokunmatik ekran navigasyon sirasinda donuyor.
R000237,interior,en,"Rear seat belt buckle is stuck, cannot release the belt. !!!!!!"
R000238,interior,en,"Sunroof refuses to close in cold weather, error on dashboard. Contact me at john.doe@example.com or +49 30 1234567."
R000239,interior,en,Cabin filter smells musty even after replacement. Please fix this asap.
R000240,interior,en,"Dome light stays on after locking the car, drains the 12v battery. <p>this is a complaint</p>"
R000241,powertrain,en,"Coolant leak under the engine bay, sweet smell after driving."
R000242,interior,en,The driver seat heater stops working after 21 minutes of driving. Plate: B-MW 1234
R000243,interior,en,Steering wheel heater only warms the lower half of the rim. Mercedes please help.
R000244,display_infotainment,en,Head-up display flickers in direct sunlight.
R000245,interior,en,Driver seat cushion has worn through after 42 months.
R000246,interior,en,Cabin filter smells musty even after replacement.
R000247,display_infotainment,tr,MBUX dokunmatik ekran navigasyon sirasinda donuyor.  multiple   spaces   here  
R000248,interior,en,"Dome light stays on after locking the car, drains the 12v battery.  multiple   spaces   here  "
R000249,interior,en,Climate control blows cold air on driver side and hot on passenger side. Mercedes please help.
R000250,interior,en,Passenger seat ventilation makes a loud rattling noise on bumpy roads. VIN: WDB2030461A123456
R000251,interior,en,The driver seat heater stops working after 56 minutes of driving. Mercedes please help.
R000252,display_infotainment,en,Backup camera shows black screen when reverse is engaged. Mercedes please help.
R000253,display_infotainment,tr,Apple CarPlay her 59 dakikada bir baglantisi kesiliyor. Contact me at john.doe@example.com or +49 30 1234567.
R000254,powertrain,de,Die 12V-Batterie entlaedt sich ueber Nacht komplett.
R000255,powertrain,en,On-board charger refuses to connect with public DC fast chargers. Plate: B-MW 1234
R000256,display_infotainment,da,Bluetooth-forbindelsen afbrydes hver gang bilen genstartes.  multiple   spaces   here  
R000257,interior,en,Steering wheel heater only warms the lower half of the rim. <p>this is a complaint</p>
R000258,interior,en,Cup holder cracked after 56 months of normal use.
R000259,display_infotainment,en,Hey Mercedes voice assistant does not recognize commands.
R000260,display_infotainment,en,Software update OTA failed and bricked the head unit.  multiple   spaces   here  
R000261,interior,en,"Dome light stays on after locking the car, drains the 12v battery. !!!!!!"
R000262,interior,en,The driver seat heater stops working after 33 minutes of driving. Please fix this asap.
R000263,interior,en,"Sunroof refuses to close in cold weather, error on dashboard. Please fix this asap."
R000264,display_infotainment,de,MBUX-Bildschirm friert waehrend der Navigation ein.
R000265,display_infotainment,pl,"Ekran MBUX zawiesza sie podczas nawigacji, wymaga restartu."
R000266,interior,en,Climate control blows cold air on driver side and hot on passenger side.
R000267,interior,en,Center console armrest is loose and wobbles when leaning on it. Mercedes please help.
R000268,interior,en,Cabin filter smells musty even after replacement.
R000269,interior,en,"Glove box latch broke, lid will not stay closed. <p>this is a complaint</p>"
R000270,interior,en,Cabin filter smells musty even after replacement.
R000271,interior,en,"Sunroof refuses to close in cold weather, error on dashboard. Mercedes please help."
R000272,interior,en,Power window switch on driver door is unresponsive intermittently. !!!!!!
R000273,interior,en,"Rear seat belt buckle is stuck, cannot release the belt. VIN: WDB2030461A123456"
R000274,interior,en,Steering wheel heater only warms the lower half of the rim. <p>this is a complaint</p>
R000275,interior,en,Cup holder cracked after 46 months of normal use. Contact me at john.doe@example.com or +49 30 1234567.
R000276,interior,en,Power window switch on driver door is unresponsive intermittently.
R000277,interior,en,"Sunroof refuses to close in cold weather, error on dashboard. Please fix this asap."
R000278,interior,en,Climate control blows cold air on driver side and hot on passenger side.  multiple   spaces   here  
R000279,interior,en,"Sunroof refuses to close in cold weather, error on dashboard."
R000280,powertrain,en,On-board charger refuses to connect with public DC fast chargers. <p>this is a complaint</p>
R000281,interior,en,Cabin filter smells musty even after replacement. VIN: WDB2030461A123456
R000282,interior,en,Passenger seat ventilation makes a loud rattling noise on bumpy roads.
R000283,interior,en,Cup holder cracked after 13 months of normal use.
R000284,interior,en,Climate control blows cold air on driver side and hot on passenger side.
R000285,interior,en,The driver seat heater stops working after 37 minutes of driving.
R000286,interior,en,"Ambient lighting flickers randomly at night, very distracting. !!!!!!"
R000287,display_infotainment,de,Drahtloses Ladegeraet ueberhitzt und stoppt das Laden.
R000288,display_infotainment,da,Bakkamera viser sort skaerm naar jeg saetter i bakgear.
R000289,interior,en,"Rear seat belt buckle is stuck, cannot release the belt. Please fix this asap."
R000290,interior,en,The driver seat heater stops working after 18 minutes of driving. Contact me at john.doe@example.com or +49 30 1234567.
R000291,interior,en,Passenger seat ventilation makes a loud rattling noise on bumpy roads. Mercedes please help.
R000292,interior,en,"Dome light stays on after locking the car, drains the 12v battery. !!!!!!"
R000293,interior,en,"Ambient lighting flickers randomly at night, very distracting."
R000294,display_infotainment,es,La camara de marcha atras muestra pantalla negra.
R000295,interior,en,"Sunroof refuses to close in cold weather, error on dashboard."
R000296,interior,en,Steering wheel heater only warms the lower half of the rim. Plate: B-MW 1234
R000297,interior,en,"Dome light stays on after locking the car, drains the 12v battery."
R000298,powertrain,de,AdBlue-Warnung bleibt trotz Nachfuellen bestehen. Contact me at john.doe@example.com or +49 30 1234567.
R000299,display_infotainment,en,GPS navigation routes through closed roads repeatedly. Plate: B-MW 1234
R000300,display_infotainment,en,GPS navigation routes through closed roads repeatedly. Plate: B-MW 1234
R000301,interior,en,"Dome light stays on after locking the car, drains the 12v battery. <p>this is a complaint</p>"
R000302,interior,en,Cabin filter smells musty even after replacement.
R000303,interior,en,Power window switch on driver door is unresponsive intermittently. !!!!!!
R000304,interior,en,"Sunroof refuses to close in cold weather, error on dashboard."
R000305,interior,en,"Ambient lighting flickers randomly at night, very distracting."
R000306,interior,en,Center console armrest is loose and wobbles when leaning on it. Plate: B-MW 1234
R000307,interior,en,The driver seat heater stops working after 16 minutes of driving.
R000308,powertrain,de,"Kuehlmittelverlust unter dem Motor, suesslicher Geruch."
R000309,interior,en,Mirror auto-dimming feature does not work at night.
R000310,display_infotainment,tr,Apple CarPlay her 39 dakikada bir baglantisi kesiliyor. !!!!!!
R000311,display_infotainment,en,Head-up display flickers in direct sunlight. Mercedes please help.
R000312,interior,en,"Sunroof refuses to close in cold weather, error on dashboard. !!!!!!"
R000313,interior,en,Power window switch on driver door is unresponsive intermittently.
R000314,interior,en,"Ambient lighting flickers randomly at night, very distracting.  multiple   spaces   here  "
R000315,interior,en,Center console armrest is loose and wobbles when leaning on it. Plate: B-MW 1234
R000316,display_infotainment,de,Burmester Soundsystem hat statisches Rauschen am hinteren rechten Lautsprecher.
R000317,interior,en,Power window switch on driver door is unresponsive intermittently. <p>this is a complaint</p>
R000318,interior,en,Power window switch on driver door is unresponsive intermittently. VIN: WDB2030461A123456
R000319,interior,en,"Rear seat belt buckle is stuck, cannot release the belt."
R000320,interior,en,Mirror auto-dimming feature does not work at night. Mercedes please help.
R000321,powertrain,en,On-board charger refuses to connect with public DC fast chargers.
R000322,interior,en,"Glove box latch broke, lid will not stay closed. Plate: B-MW 1234"
R000323,interior,en,The driver seat heater stops working after 50 minutes of driving. !!!!!!
R000324,display_infotainment,da,Bakkamera viser sort skaerm naar jeg saetter i bakgear.
R000325,powertrain,en,"Coolant leak under the engine bay, sweet smell after driving. Contact me at john.doe@example.com or +49 30 1234567."
R000326,interior,en,"Rear seat belt buckle is stuck, cannot release the belt."
R000327,interior,en,"Dome light stays on after locking the car, drains the 12v battery. Mercedes please help."
R000328,interior,en,"Rear seat belt buckle is stuck, cannot release the belt."
R000329,interior,en,Steering wheel heater only warms the lower half of the rim. Please fix this asap.
R000330,interior,en,Passenger seat ventilation makes a loud rattling noise on bumpy roads.
R000331,interior,en,Center console armrest is loose and wobbles when leaning on it. Contact me at john.doe@example.com or +49 30 1234567.
R000332,interior,en,Steering wheel heater only warms the lower half of the rim.  multiple   spaces   here  
R000333,interior,en,"Rear seat belt buckle is stuck, cannot release the belt."
R000334,interior,en,Cup holder cracked after 9 months of normal use.  multiple   spaces   here  
R000335,interior,en,Climate control blows cold air on driver side and hot on passenger side.
R000336,interior,en,Climate control blows cold air on driver side and hot on passenger side. Contact me at john.doe@example.com or +49 30 1234567.
R000337,interior,en,"Sunroof refuses to close in cold weather, error on dashboard. VIN: WDB2030461A123456"
R000338,interior,en,Cabin filter smells musty even after replacement. Contact me at john.doe@example.com or +49 30 1234567.
R000339,interior,en,Cabin filter smells musty even after replacement.
R000340,interior,en,Climate control blows cold air on driver side and hot on passenger side.
R000341,display_infotainment,de,Burmester Soundsystem hat statisches Rauschen am hinteren rechten Lautsprecher. <p>this is a complaint</p>
R000342,interior,en,The driver seat heater stops working after 42 minutes of driving. Plate: B-MW 1234
R000343,display_infotainment,pl,"Ekran MBUX zawiesza sie podczas nawigacji, wymaga restartu."
R000344,interior,en,The driver seat heater stops working after 37 minutes of driving. Mercedes please help.
