complaint_id,domain,vehicle_model,language,country,complaint_text,timestamp,severity,mileage_km
1029,Infotainment,Yamaha Aerox,Danish,Denmark,Bluetooth afbryder forbindelsen til min telefon hvert 5. minut.,2022-10-02 08:12:31,medium,90023
1030,PowerTrain,Mercedes CLA,English,USA,Engine rpm fluctuates randomly at idle. Goes between 500 and 1200 rpm.,2023-11-17 19:09:38,high,115062
1031,Infotainment,Yamaha YZF-R1,Spanish,Spain,La pantalla táctil no responde bien cuando hace frío.,2023-10-26 21:11:44,high,110954
1032,Interior,Yamaha MT-07,English,South Africa,"Noticed seat vibration started few weeks ago, gets worse when engine warms up",2022-09-05 08:33:46,high,55248
1033,Infotainment,Mercedes S-Class,English,Australia,Navigation lag is terrible in city. Map updates 3-4 seconds behind.,2024-09-02 16:46:00,high,1942
1034,Infotainment,Mercedes S-Class,Dutch,Netherlands,Geluid vervormt bij hoog volume. Bas klonkt raar.,2023-01-31 04:29:10,low,101448
1035,PowerTrain,Yamaha NMAX,German,Switzerland,Kraftstoffverbrauch stark gestiegen ohne ersichtlichen Grund. Einspritzdüse defekt?,2024-08-14 00:32:24,high,128745
1036,Infotainment,Mercedes B-Class,Polish,Poland,System nawigacji jest bardzo opóźniony w centrum miasta.,2023-01-26 16:22:09,medium,34932
1037,Infotainment,Yamaha MT-09,French,France,L'assistant vocal ne comprend pas mes commandes. Inutilisable.,2022-09-03 12:05:14,medium,42369
1038,PowerTrain,Yamaha NMAX,English,South Africa,Engine cuts out at roundabouts when turning and braking together.,2024-04-21 15:40:30,high,15164
1039,Infotainment,Mercedes GLC,English,India,Voice assistant doesn't understand my commands half the time.,2023-09-12 20:43:44,high,114130
1040,Interior,Yamaha MT-15,English,UK,Mirror adjustment buttons stopped working. Cant adjust driver side mirror.,2023-04-21 15:34:06,low,9134
1041,PowerTrain,Mercedes AMG GT,English,USA,Deep knock sound from engine. Gets worse as rpm increases. Very concerning.,2024-03-17 08:49:18,low,146619
1042,Interior,Mercedes EQS,English,UK,Cabin interior smells like burning plastic after long drives. Very concerning.,2022-11-25 14:44:08,high,34964
1043,Infotainment,Mercedes G-Class,English,Canada,Speed limit sign recognition showing wrong limits constantly.,2023-03-04 07:14:05,medium,55873
1044,Interior,Yamaha XSR900,English,South Africa,Vibration thru steering wheel when braking from high speed. Scary feeling.,2023-05-26 13:23:51,medium,72812
1045,Infotainment,Yamaha R15,Turkish,Turkey,Sesli asistan komutları anlamıyor. Elleri serbest kullanamıyorum.,2024-10-17 08:04:39,medium,47973
1046,PowerTrain,Mercedes GLC,German,Germany,Getriebe springt aus dem Gang beim Bergabfahren. Sehr gefährlich.,2024-06-24 23:35:07,medium,171749
1047,Infotainment,Mercedes GLA,English,South Africa,Navigation doesnt show speed cameras anymore after update.,2023-07-14 14:57:22,high,13326
1048,Infotainment,Yamaha Aerox,Norwegian,Norway,Berøringsskjermen reagerer ikke i kaldt vær.,2023-04-17 22:08:12,medium,18180
1049,Infotainment,Yamaha YZF-R1,Polish,Poland,Kamera cofania pokazuje czarny ekran losowo przy włączeniu biegu wstecznego.,2023-01-27 01:43:27,critical,14558
1050,PowerTrain,Yamaha Aerox,English,New Zealand,Clutch slipping when moving in first gear. RPM rises but speed doesnt match.,2022-08-16 20:11:35,medium,75170
1051,Interior,Yamaha XSR900,English,Canada,Mirror adjustment buttons stopped working. Cant adjust driver side mirror.,2024-09-12 04:35:29,medium,29085
1052,Infotainment,Mercedes CLA,English,UK,Map download stuck at 87%. Been like this for 2 weeks.,2023-01-28 03:35:01,high,61819
1053,PowerTrain,Mercedes GLC,English,New Zealand,Engine warning light on for 3 days. Codes show misfires on cylinder 3.,2024-11-23 02:53:11,high,59812
1054,PowerTrain,Mercedes B-Class,English,Canada,Gear shifts feel sluggish. Response time from paddle shifter is very slow.,2022-09-09 17:24:24,critical,76392
1055,Interior,Mercedes GLB,English,Canada,Rear window demister not working properly. Only half the grid heats up.,2022-10-25 22:47:54,critical,89653
1056,Interior,Mercedes CLA,English,Australia,Vibration thru steering wheel when braking from high speed. Scary feeling.,2022-08-21 16:36:12,high,1520
1057,Interior,Yamaha R15,English,UK,Center console lid keeps popping open on its own. Latch must be broken.,2022-09-11 01:23:31,medium,63999
1058,PowerTrain,Yamaha FZ-S,English,UK,Clutch slipping when moving in first gear. RPM rises but speed doesnt match.,2022-05-06 12:11:34,high,89439
1059,Infotainment,Yamaha FZ-S,German,Austria,Lautstärkeregler funktioniert manchmal nicht. Ton bleibt gleich.,2023-04-19 09:18:11,medium,98030
1060,Infotainment,Yamaha Aerox,English,New Zealand,System fan is very loud. Can hear it from inside cabin when quiet.,2024-06-13 09:10:11,medium,82123
1061,PowerTrain,Mercedes C-Class,German,Switzerland,Verzögerung beim Gangwechsel mit Automatik. Reaktion sehr träge.,2024-05-09 14:02:15,high,171319
1062,Infotainment,Yamaha R3,Turkish,Turkey,Geri vites kamerasında görüntü 3 saniye gecikmeli geliyor. Tehlikeli.,2025-02-16 12:35:10,high,52029
1063,Infotainment,Yamaha XSR900,Italian,Italy,Lo schermo si blocca completamente durante la guida. Molto pericoloso.,2023-03-14 13:26:47,critical,39657
1064,PowerTrain,Yamaha MT-15,German,Germany,Motor macht komisches Tickgeräusch bei Leerlauf. Hört man deutlich.,2023-05-10 22:24:20,medium,108542
1065,Infotainment,Mercedes GLA,Turkish,Turkey,Geri vites kamerasında görüntü 3 saniye gecikmeli geliyor. Tehlikeli.,2024-02-05 11:04:41,low,23171
1066,Infotainment,Yamaha MT-09,French,Switzerland,Son déformé à volume élevé. Les basses craquent beaucoup.,2023-05-31 22:58:49,medium,49210
1067,PowerTrain,Mercedes EQS,German,Austria,Kraftstoffverbrauch stark gestiegen ohne ersichtlichen Grund. Einspritzdüse defekt?,2023-05-14 19:53:16,critical,123820
1068,Interior,Yamaha R15,English,New Zealand,Lumbar support motor grinding noise. Adjustment barely moves now.,2022-05-23 22:12:45,high,12524
1069,Infotainment,Yamaha Aerox,Turkish,Turkey,Ses sistemi bozuluyor yüksek seste. Hoparlörlerden tiz ses geliyor.,2023-01-11 14:39:38,low,33831
1070,Infotainment,Yamaha Ténéré 700,Spanish,Spain,El sonido se distorsiona mucho a volumen alto.,2023-02-06 19:17:21,critical,114164
1071,Interior,Mercedes S-Class,English,New Zealand,Remote central locking stopped working. Battery changed but same problem.,2023-01-06 22:59:04,medium,70997
1072,Interior,Mercedes GLA,English,India,"Cabin is super noisy, can barely hear music even at vol 20. Road noise is crazy loud.",2022-08-31 09:53:03,medium,72657
1073,Infotainment,Yamaha R3,Danish,Denmark,Bakkameraet viser sort skærm nogle gange. Er meget usikkert.,2024-10-29 09:38:06,high,97440
1074,Infotainment,Mercedes GLE,English,India,BT audio drops out randomly. Very annoying during calls.,2023-10-23 12:55:42,high,53673
1075,Infotainment,Mercedes A-Class,Dutch,Belgium,Achteruitrijcamera toont soms een zwart scherm.,2024-12-30 08:21:35,high,41586
1076,Interior,Yamaha Aerox,English,Canada,Center console lid keeps popping open on its own. Latch must be broken.,2023-09-01 20:02:30,critical,28169
1077,Interior,Mercedes E-Class,English,USA,Weird squeaking from rear seat whenever I go over bumps. Happens every time.,2025-02-03 13:26:52,high,92224
1078,Infotainment,Yamaha WR155,Norwegian,Norway,Skjermen fryser helt under kjøring. Svært farlig på motorveien.,2023-08-23 19:21:42,medium,23777
1079,Infotainment,Yamaha Aerox,Polish,Poland,Kamera cofania pokazuje czarny ekran losowo przy włączeniu biegu wstecznego.,2022-07-18 13:42:12,high,103276
1080,Infotainment,Mercedes GLE,German,Austria,Bildschirm friert ein und reagiert nicht mehr. Muss System neu starten.,2023-06-16 16:45:55,critical,44525
1081,Infotainment,Mercedes EQC,English,Canada,Screen sensitivity very low. Have to press hard for anything to register.,2024-05-22 04:13:54,medium,36391
1082,Infotainment,Yamaha FZ25,Swedish,Sweden,Skärmen fryser helt under körning. Mycket farligt på motorvägen.,2023-07-16 09:46:01,low,33179
1083,Infotainment,Mercedes GLB,French,Belgium,L'écran tactile ne répond pas quand il fait froid le matin.,2024-04-01 11:11:14,high,116553
1084,Interior,Yamaha XSR900,English,South Africa,Front door lock makes grinding noise when locking. Feels like mechanism is worn.,2023-06-15 22:03:09,low,5995
1085,PowerTrain,Yamaha XSR900,English,USA,Power cuts out briefly then comes back. Like engine stumbles for a second.,2023-03-07 00:36:51,critical,122665
1086,Infotainment,Yamaha MT-15,Polish,Poland,Ekran nie reaguje na dotyk gdy temperatura jest niska rano.,2024-02-22 04:37:56,low,90078
1087,Infotainment,Mercedes AMG GT,Dutch,Netherlands,Achteruitrijcamera toont soms een zwart scherm.,2024-08-02 06:22:53,low,66990
1088,PowerTrain,Mercedes S-Class,English,New Zealand,Engine knock audible at low rpm under load. Used premium fuel but same.,2023-01-08 10:30:17,high,48413
1089,Interior,Yamaha MT-03,English,Canada,My seat rattles non stop since last service. dealership said nothings wrong but it def is,2025-02-09 02:35:10,critical,84996
1090,Infotainment,Yamaha FZ-S,German,Switzerland,Bildschirm friert ein und reagiert nicht mehr. Muss System neu starten.,2025-04-28 10:57:07,medium,114520
1091,Infotainment,Mercedes CLA,Norwegian,Norway,Ryggekameraet viser svart skjerm av og til.,2023-08-24 22:02:57,medium,73409
1092,Infotainment,Yamaha MT-03,English,Canada,Reverse cam image is blurry. Hard to see obstacles behind.,2024-01-16 06:36:18,low,35833
1093,Interior,Yamaha R15,English,New Zealand,Seat height adjustment stuck. Can only adjust front/back not up/down.,2024-08-03 01:49:03,high,20935
1094,PowerTrain,Mercedes AMG GT,English,Australia,Strange ticking from top end of engine. Sounds like valve train issue.,2022-09-05 05:41:08,critical,125288
1095,Infotainment,Mercedes GLB,English,India,Wireless CarPlay not connecting. Shows my phone but then fails.,2023-10-19 03:09:11,low,43723
1096,Infotainment,Yamaha Aerox,Italian,Italy,Il sistema si riavvia da solo mentre si guida.,2023-07-24 15:22:16,high,43157
1097,Infotainment,Yamaha Tracer 9,Turkish,Turkey,Ekran tamamen donuyor ve hiçbir şeye basamıyorum. Yeniden başlatmak zorundayım.,2023-07-21 19:41:08,medium,88965
1098,PowerTrain,Yamaha Tracer 9,English,USA,Clutch feels spongy and slips on hills when pulling away.,2023-06-27 02:16:24,medium,90040
1099,Interior,Yamaha R15,English,New Zealand,Horrible vibration thru seat esp on rough roads. Back starts hurting after 30 mins,2023-02-13 16:03:24,critical,9281
1100,Interior,Yamaha FZ25,English,USA,Weird squeaking from rear seat whenever I go over bumps. Happens every time.,2024-10-31 02:38:15,low,29164
1101,Infotainment,Mercedes G-Class,German,Switzerland,Infotainment startet nach jedem Kaltstart neu. Dauert 4 Minuten.,2025-02-06 21:01:48,high,20086
1102,Infotainment,Mercedes AMG GT,Polish,Poland,Kamera cofania pokazuje czarny ekran losowo przy włączeniu biegu wstecznego.,2023-07-05 17:33:19,low,112663
1103,Infotainment,Mercedes GLA,Spanish,Spain,El Bluetooth se desconecta cada pocos minutos. No puedo hablar por teléfono.,2022-12-28 16:26:21,medium,20782
1104,Infotainment,Mercedes GLC,English,New Zealand,Touchscreen completely unresponsive in cold weather. Have to warm car first.,2022-10-24 06:08:13,medium,60632
1105,Infotainment,Mercedes AMG GT,Spanish,Mexico,El sonido se distorsiona mucho a volumen alto.,2022-10-20 06:16:13,medium,37275
1106,Infotainment,Yamaha YZF-R1,Dutch,Belgium,Bluetooth verbreekt de verbinding elke paar minuten.,2023-03-03 10:49:33,medium,22890
1107,Interior,Mercedes EQC,English,Canada,Cabin interior smells like burning plastic after long drives. Very concerning.,2023-12-02 02:07:31,medium,57722
1108,Infotainment,Yamaha XSR900,Norwegian,Norway,GPS-navigasjonen er veldig treg i bytrafikk.,2025-03-06 23:45:00,high,92271
1109,PowerTrain,Yamaha FZ-S,German,Germany,Getriebe ruckt beim Schalten von 2. in 3. Gang. Sehr unangenehm.,2023-05-20 03:23:23,high,54261
1110,PowerTrain,Mercedes GLC,English,India,Transmission jerks violently sometimes randomly while cruising. No warning.,2022-11-24 03:14:31,medium,123803
1111,Infotainment,Mercedes A-Class,Swedish,Sweden,Navigationssystemet är väldigt långsamt att uppdatera i staden.,2025-02-13 03:29:33,high,91701
1112,Infotainment,Yamaha Tracer 9,Polish,Poland,Ekran dotykowy całkowicie się zawiesił podczas jazdy autostradą.,2022-09-20 09:49:58,medium,87020
1113,PowerTrain,Yamaha XSR900,English,Australia,Rough idle suspected injector issue. Engine stumbles at traffic lights.,2023-12-27 19:45:21,medium,111843
1114,Interior,Mercedes EQC,English,Australia,Annoying rattle from dashboard area near AC vents. Happened after 3 months of ownership.,2023-04-04 04:28:39,medium,7965
1115,PowerTrain,Yamaha Aerox,English,Canada,Engine misfiring at low rpm. Mechanic suspects dirty injectors.,2023-01-26 08:12:34,medium,163353
1116,Infotainment,Yamaha MT-09,English,Australia,GPS navigation very slow to recalculate when i take wrong turn.,2022-12-07 22:57:11,high,9509
1117,Infotainment,Yamaha NMAX,Norwegian,Norway,Ryggekameraet viser svart skjerm av og til.,2024-03-10 21:38:50,critical,5876
1118,Infotainment,Mercedes EQS,English,UK,Screen brightness doesnt auto adjust. Always too bright at night.,2024-10-13 08:54:28,low,82652
1119,Interior,Yamaha Ténéré 700,English,South Africa,Glove box wont stay shut. Keep finding it open while driving.,2022-05-13 03:39:59,high,87838
1120,PowerTrain,Mercedes G-Class,German,Switzerland,Motorwarnleuchte leuchtet dauerhaft. Fehlercode zeigt Lambdasonde.,2023-03-05 02:16:12,critical,21922
1121,Infotainment,Mercedes S-Class,Turkish,Turkey,Navigasyon sistemi çok yavaş güncelleniyor. Şehirde kullanmak imkansız.,2024-12-30 17:20:01,medium,84867
1122,Infotainment,Mercedes AMG GT,Swedish,Sweden,Backkameran visar svart bild ibland när man lägger i backen.,2025-01-05 01:09:22,medium,84993
1123,PowerTrain,Mercedes EQS,German,Germany,Leistungsverlust beim Überholen auf der Autobahn. Motor läuft unrund.,2022-11-13 01:51:32,low,126141
1124,Infotainment,Yamaha FZ-S,English,South Africa,Map download stuck at 87%. Been like this for 2 weeks.,2022-06-02 05:26:47,medium,100388
1125,Infotainment,Yamaha Aerox,Dutch,Belgium,Het navigatiesysteem is erg traag in de stad. Kaart loopt achter.,2025-01-27 15:51:29,critical,106978
1126,Interior,Mercedes GLE,English,India,Rear window demister not working properly. Only half the grid heats up.,2024-11-12 11:44:25,low,8626
1127,PowerTrain,Yamaha MT-15,English,Australia,Temperature spikes randomly even on short drives. Already replaced thermostat.,2023-04-14 07:36:29,high,172431
1128,Infotainment,Yamaha NMAX,German,Switzerland,Bildschirm friert ein und reagiert nicht mehr. Muss System neu starten.,2023-12-16 06:17:06,low,81376
1129,PowerTrain,Mercedes E-Class,English,Australia,Check engine light on. Scanner shows O2 sensor fault code.,2022-09-23 01:43:37,high,63569
1130,PowerTrain,Yamaha XSR900,English,UK,Knocking sound from engine on cold start. Goes away after warmup but worrying.,2024-02-04 11:23:46,high,108849
1131,Infotainment,Mercedes GLC,Swedish,Sweden,Skärmen fryser helt under körning. Mycket farligt på motorvägen.,2024-10-05 00:54:21,critical,85587
1132,PowerTrain,Yamaha FZ25,English,USA,Gearbox jerks when shifting from 2nd to 3rd. Started after 20k km.,2022-12-21 07:22:28,critical,62623
1133,PowerTrain,Mercedes A-Class,English,New Zealand,Clutch pedal feels very heavy compared to before. Hard to change gears.,2022-05-01 15:08:04,medium,81658
1134,Infotainment,Mercedes CLA,Turkish,Turkey,Yazılım güncellemesinden sonra sistem sürekli çöküyor.,2022-09-18 06:44:06,high,103786
1135,Interior,Yamaha Ténéré 700,English,Australia,Interior door handle on rear left door feels very loose. Might break soon.,2023-03-13 06:39:28,high,90411
1136,PowerTrain,Yamaha R3,English,Canada,Hard starting in morning. Cranks many times before firing. Injector related?,2024-08-10 23:34:17,high,88808
1137,Infotainment,Yamaha XSR900,Italian,Italy,Il Bluetooth si disconnette continuamente dal cellulare. Ogni pochi minuti.,2022-08-20 23:10:09,high,52194
1138,Infotainment,Mercedes E-Class,English,USA,Strange static noise from speakers when using nav. Happens together.,2024-10-26 06:40:12,high,57282
1139,Infotainment,Yamaha MT-09,Danish,Denmark,Touchskærm reagerer ikke ordentligt i koldt vejr om morgenen.,2024-12-18 10:22:52,high,116048
1140,Interior,Yamaha Tracer 9,English,India,Seat vibr at low rpm is annoying. happens mostly in traffic when idling.,2024-09-01 21:36:53,medium,13133
1141,Infotainment,Mercedes GLC,English,Canada,Nav map freezes for few seconds then jumps. Makes it hard to follow route.,2024-06-01 13:17:03,medium,13596
1142,Infotainment,Yamaha FZ25,English,New Zealand,Bluetooth wont connect to my iPhone 14 at all. Android works fine.,2023-01-05 19:59:06,medium,43378
1143,PowerTrain,Yamaha YZF-R1,English,UK,AT transmission takes forever to downshift when i need acceleration fast.,2023-06-09 03:19:49,critical,101379
1144,Infotainment,Yamaha FZ25,English,New Zealand,Hey Mercedes not working after update. It just ignores me.,2024-07-08 09:32:19,low,108274
1145,PowerTrain,Yamaha WR155,English,USA,Transmission fluid leak noticed under car. Small puddle every morning.,2025-04-16 17:58:05,critical,102657
1146,Infotainment,Yamaha YZF-R1,German,Switzerland,Infotainment startet nach jedem Kaltstart neu. Dauert 4 Minuten.,2025-03-25 03:21:36,medium,104027
1147,PowerTrain,Mercedes CLS,English,Canada,AT transmission takes forever to downshift when i need acceleration fast.,2023-09-29 00:46:18,medium,109928
1148,PowerTrain,Mercedes B-Class,English,Australia,Engine knock audible at low rpm under load. Used premium fuel but same.,2023-01-03 07:19:32,high,30336
1149,Interior,Yamaha Aerox,English,Canada,"Noticed seat vibration started few weeks ago, gets worse when engine warms up",2023-04-20 00:39:48,high,38230
1150,Infotainment,Mercedes EQS,English,Australia,Touchscreen completely unresponsive in cold weather. Have to warm car first.,2023-02-03 18:03:56,medium,39768
1151,Infotainment,Yamaha MT-03,English,Australia,Reverse camera lines not aligned with actual path. Very misleading.,2022-06-20 16:54:07,high,30490
1152,Interior,Mercedes C-Class,English,UK,Ambient light colors not changing. Stuck on white even tho i set it to blue.,2023-01-11 18:07:00,medium,49972
1153,Infotainment,Mercedes GLB,Italian,Italy,Il touchscreen non risponde al tocco quando fa freddo.,2024-04-14 04:52:50,high,10355
1154,Interior,Yamaha Ténéré 700,English,New Zealand,Overhead console rattles loudly on rough roads. Very irritating.,2023-11-13 18:43:51,high,75974
1155,Infotainment,Mercedes B-Class,Turkish,Turkey,Ses sistemi bozuluyor yüksek seste. Hoparlörlerden tiz ses geliyor.,2025-01-13 22:50:05,medium,25070
1156,Infotainment,Yamaha Tracer 9,Turkish,Turkey,Ekran tamamen donuyor ve hiçbir şeye basamıyorum. Yeniden başlatmak zorundayım.,2023-07-19 14:05:28,low,101827
1157,Infotainment,Yamaha Ténéré 700,English,UK,Volume knob has no effect sometimes. Screen shows change but no audio change.,2025-04-02 19:34:02,high,30745
1158,Infotainment,Yamaha MT-09,Italian,Italy,Il suono è distorto ad alto volume. Le basse frequenze crepitano.,2023-01-28 22:22:37,low,17082
1159,Infotainment,Yamaha YZF-R1,Norwegian,Norway,Skjermen fryser helt under kjøring. Svært farlig på motorveien.,2025-02-22 06:30:38,low,44290
1160,PowerTrain,Yamaha FZ25,English,Canada,Hard starting in morning. Cranks many times before firing. Injector related?,2023-01-12 09:18:48,high,124523
1161,Interior,Yamaha MT-09,English,Australia,Ambient light system completely dead since software update last month.,2024-02-18 00:09:20,low,54183
1162,PowerTrain,Yamaha R15,English,Australia,Whirring noise from engine bay at idle. Goes away above 2000rpm.,2023-08-31 06:44:16,low,116398
1163,Infotainment,Mercedes EQC,English,India,Reverse camera lines not aligned with actual path. Very misleading.,2023-05-14 14:56:48,medium,60021
1164,Infotainment,Mercedes G-Class,German,Germany,Apple CarPlay verbindet sich nicht mehr nach dem Update.,2024-01-27 21:06:38,medium,114304
1165,Infotainment,Yamaha YZF-R1,Dutch,Belgium,Touchscreen reageert niet bij koud weer 's ochtends.,2025-01-05 19:44:36,medium,39841
1166,Interior,Mercedes EQS,English,South Africa,Seatbelt buckle on passenger side very stiff. Hard to insert belt.,2022-11-12 08:41:30,low,17128
1167,PowerTrain,Yamaha MT-15,English,USA,Deep knock sound from engine. Gets worse as rpm increases. Very concerning.,2024-10-18 21:57:14,low,71590
1168,Infotainment,Yamaha MT-09,English,UK,Camera shows black screen sometimes when reversing. Very unsafe.,2024-08-10 10:27:23,high,100051
1169,Infotainment,Mercedes B-Class,Dutch,Belgium,Het scherm bevriest volledig tijdens het rijden. Erg gevaarlijk.,2024-06-27 02:53:24,medium,9874
1170,Infotainment,Yamaha MT-03,English,New Zealand,Reverse cam image is blurry. Hard to see obstacles behind.,2024-10-31 05:48:26,critical,56357
1171,Infotainment,Yamaha R15,English,South Africa,Reverse cam image is blurry. Hard to see obstacles behind.,2024-10-01 05:34:36,low,37978
1172,Infotainment,Mercedes GLC,Danish,Denmark,Lydsystemet laver mærkelig støj fra højttalerne ved høj lydstyrke.,2025-01-31 02:13:51,medium,8435
1173,PowerTrain,Yamaha Tracer 9,English,UK,Whirring noise from engine bay at idle. Goes away above 2000rpm.,2024-07-16 16:02:07,low,143151
1174,Infotainment,Mercedes CLS,English,Australia,Bluetooth keeps disconnecting from my phone every 10-15 minutes.,2024-02-04 14:10:29,low,44698
1175,PowerTrain,Mercedes GLB,English,South Africa,Replaced clutch 8 months ago and its slipping again already. Very expensive.,2023-08-24 10:58:04,low,176821
1176,Infotainment,Mercedes CLA,Turkish,Turkey,Navigasyon sistemi çok yavaş güncelleniyor. Şehirde kullanmak imkansız.,2024-04-16 08:54:53,medium,83761
1177,Interior,Yamaha Aerox,English,Australia,Loud humming noise inside from around 60kmh. Gets louder with speed. Very annoying.,2022-08-15 20:43:33,medium,32318
1178,PowerTrain,Yamaha Ténéré 700,English,South Africa,Oil pressure warning light flickering at idle. Very alarming.,2025-02-11 01:11:41,medium,86475
1179,Infotainment,Yamaha MT-03,English,Australia,Screen sensitivity very low. Have to press hard for anything to register.,2024-08-31 04:23:32,high,17322
1180,Infotainment,Yamaha Aerox,English,Canada,Audio cuts in and out randomly. Speaker issue or software?,2022-09-04 02:53:17,high,20735
1181,Interior,Yamaha FZ-S,English,India,Way too much wind noise inside cabin at speeds above 100. Seals seem bad.,2023-07-06 19:36:25,critical,59729
1182,Infotainment,Yamaha R15,Polish,Poland,Ekran nie reaguje na dotyk gdy temperatura jest niska rano.,2022-08-07 17:36:55,low,62572
1183,Infotainment,Mercedes EQS,Norwegian,Norway,Ryggekameraet viser svart skjerm av og til.,2025-01-28 13:33:03,critical,88028
1184,Interior,Mercedes AMG GT,English,India,Sunroof doesnt close all the way. Small gap left even when fully closed.,2023-10-11 13:27:31,high,36721
1185,PowerTrain,Yamaha FZ25,German,Switzerland,Motorgeräusch hat sich nach Ölwechsel verändert. Klingt lauter als vorher.,2023-07-04 04:02:20,medium,147697
1186,Infotainment,Mercedes GLA,Danish,Denmark,Touchskærm reagerer ikke ordentligt i koldt vejr om morgenen.,2024-05-30 04:10:47,low,80844
1187,PowerTrain,Yamaha Ténéré 700,German,Austria,Motor überhitzt nach 30 Minuten Autobahnfahrt. Musste an der Seite anhalten.,2024-10-11 11:15:28,low,179562
1188,Infotainment,Mercedes B-Class,Italian,Italy,Il touchscreen non risponde al tocco quando fa freddo.,2022-09-14 21:43:12,critical,57390
1189,Infotainment,Yamaha WR155,Spanish,Argentina,La pantalla se congela completamente mientras conduces. Es muy peligroso.,2025-02-15 21:43:32,critical,108869
1190,Interior,Mercedes EQS,English,India,Central locking not working on rear right door. Have to manually lock it.,2023-06-20 22:06:12,low,8975
1191,PowerTrain,Yamaha WR155,English,Australia,Engine cuts out at roundabouts when turning and braking together.,2024-09-08 05:59:43,medium,35367
